,Products Name,Prices,Descriptions,Reviews
0,"IQOO 15R 5G (Dark Knight, 256 GB)","₹48,290",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP Rear Camera7600 mAh Battery12 Months Brand Warranty,4.6
1,"OPPO Reno14 5G (Pearl White, 256 GB)","₹42,999",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
2,"OPPO Reno15 5G (Twilight Blue, 256 GB)","₹47,999",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Full HD+ Display50MP + 50MP + 8MP | Yes6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
3,"OnePlus 12 (Glacial White, 256 GB)","₹49,199",12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Full HD+ AMOLED Display50MP Rear Camera5400 mAh BatteryQualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm) Processor1 Year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,4.6
4,"OPPO Reno15c 5G (Afterglow Pink, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM16.69 cm (6.57 inch) Full HD+ Display50MP + 8MP + 2MP | Yes7000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
5,"OPPO Reno14 5G (Forest Green, 512 GB)","₹47,999",12 GB RAM | 512 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
6,"OPPO Reno14 5G (Forest Green, 256 GB)","₹42,999",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
7,"Google Pixel 10a (Obsidian, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Full HD+ AMOLED Display48MP + 13MP | 13MP Front Camera5100 mAh Lithium BatteryTensor G4 Processor1 year domestic warranty,4.5
8,"Samsung Galaxy S24 FE 5G (Blue, 256 GB)","₹45,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 8MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
9,"MOTOROLA Razr 60 (PANTONE Spring Bud, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera4500 mAh BatteryDimensity 7400X Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
10,"vivo V60 5G (Moonlit Blue, 512 GB)","₹45,499",16 GB RAM | 512 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
11,"vivo V70 (Passion Red, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM16.74 cm (6.59 inches) Full HD+ AMOLED Display50MP + 50MP + 8MP | Yes6500 mAh Li-ion battery BatterySnapdragon 7 Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.6
12,"Nothing Phone (4a) (White, 256 GB)","₹40,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 50MP + 8MP | 32MP Front Camera5400 mAh Lithium ion BatterySnapdragon 7s Gen 4 Processor1 Year Manufacturing Warranty,4.5
13,"Google Pixel 10a (Fog, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Full HD+ AMOLED Display48MP + 13MP | 13MP Front Camera5100 mAh Lithium BatteryTensor G4 Processor1 year domestic warranty,4.5
14,"OPPO Reno14 5G (Forest Green, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
15,"Xiaomi 14 CIVI (Panda White, 512 GB)","₹49,999",12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
16,"Samsung Galaxy S24 FE 5G (Graphite, 256 GB)","₹45,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 8MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
17,"OnePlus 13R 5g (Astral Trail, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,4.5
18,"OnePlus 13R 5G (Nebula Noir, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,4.5
19,"OPPO Reno13 5G (Ivory White, 256 GB)","₹40,999",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 2MP | 50MP Front Camera5600 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
20,"OPPO Reno15 5G (Aurora Blue, 256 GB)","₹47,999",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Full HD+ Display50MP + 50MP + 8MP | Yes6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
21,"vivo V70 (Lemon Yellow, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM16.74 cm (6.59 inches) Full HD+ AMOLED Display50MP + 50MP + 8MP | Yes6500 mAh Li-ion battery BatterySnapdragon 7 Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.6
22,"Samsung Galaxy A36 5G (Awesome Black, 256 GB)","₹37,799",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
23,"Xiaomi 14 CIVI (Hot Pink, 512 GB)","₹44,999",12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
24,"Google Pixel 10a (Berry, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Full HD+ AMOLED Display48MP + 13MP | 13MP Front Camera5100 mAh Lithium BatteryTensor G4 Processor1 year domestic warranty,4.5
25,"Samsung Galaxy A36 5G (Awesome Lavender, 256 GB)","₹37,604",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 12MP Front Camera5000 mAh BatteryQualcomm Snapdragon 6 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
26,"OnePlus 13s 5G (Black Velvet, 512 GB)","₹55,966",12 GB RAM | 512 GB ROM16.05 cm (6.32 inch) Display50MP Rear Camera5850 mAh Battery1 Year Warranty,4.6
27,"Google Pixel 10a (Lavender, 256 GB)","₹49,999",8 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Full HD+ AMOLED Display48MP + 13MP | 13MP Front Camera5100 mAh Lithium BatteryTensor G4 Processor1 year domestic warranty,4.5
28,"OPPO Reno14 5G (Pearl White, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
29,"Samsung Galaxy A55 5G (Awesome Navy, 256 GB)","₹35,867",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.4
30,"OnePlus 13s 5G (Black Velvet, 256 GB)","₹51,373",12 GB RAM | 256 GB ROM16.05 cm (6.32 inch) Display50MP Rear Camera5850 mAh Battery1 Year Warranty,4.6
31,"IQOO 15R 5G (Dark Knight, 256 GB)","₹50,599",12 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP Rear Camera7600 mAh Battery12 Months Brand Warranty,4.6
32,"Samsung Galaxy S21 FE 5G (Olive Green, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion Battery1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.3
33,"OPPO Reno15 5G (Glacier White, 512 GB)","₹55,999",12 GB RAM | 512 GB ROM16.74 cm (6.59 inch) Full HD+ Display50MP + 50MP + 8MP | Yes6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
34,"OPPO Reno13 5G (Sky Blue, 512 GB)","₹41,999",12 GB RAM | 512 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 2MP | 50MP Front Camera5600 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5
35,"OPPO Reno 12 5G (Matte Brown, 256 GB)","₹43,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
36,"Samsung Galaxy A54 5G (Awesome Graphite, 128 GB)","₹41,999","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatteryExynos 1380, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.3
37,"OPPO Reno14 5G (Pearl White, 512 GB)","₹47,999",12 GB RAM | 512 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
38,"Samsung Galaxy A54 5G (Awesome Violet, 128 GB)","₹41,999","8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatteryExynos 1380, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.3
39,"realme GT 6T 5G (Fluid Silver, 512 GB)","₹39,116",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year,4.5
40,"Nothing Phone (4a) Pro (Silver, 256 GB)","₹55,999",12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display50MP + 50MP + 8MP | 32MP Front Camera5400 mAh Lithium ion BatterySnapdragon 7 Gen 4 Processor1 Year Manufacturing Warranty,4.6
41,"OPPO Reno11 Pro 5G (Rock Grey, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 32MP | 32MP Front Camera4600 mAh BatteryMediatek Dimensity 8200 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
42,"Samsung Galaxy A37 5G (Awesome Charcoal, 256 GB)","₹47,499",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Super AMOLED Display50MP + 8MP | 12MP Front Camera5000 mAh Li-ion BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
43,"Samsung Galaxy A54 5G (Awesome Graphite, 256 GB)","₹35,560","8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatteryExynos 1380, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.3
44,"Samsung Galaxy A37 5G (Awesome Graygreen, 256 GB)","₹47,499",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Super AMOLED Display50MP + 8MP | 12MP Front Camera5000 mAh Li-ion BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
45,"OnePlus 11 5G (Eternal Green, 128 GB)","₹39,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 16MP Front Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories,4.4
46,"Google Pixel 8a (Obsidian, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.3
47,"OnePlus 13s 5G (Green Silk, 256 GB)","₹53,990",12 GB RAM | 256 GB ROM16.05 cm (6.32 inch) Display50MP Rear Camera5850 mAh Battery1 Year Warranty,4.6
48,"Xiaomi 11T Pro 5G Hyperphone (Meteorite Black, 256 GB)","₹48,476",12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display108MP Rear Camera5000 mAh Battery12 months,4.1
49,"vivo V30 Pro 5G (Classic Black, 512 GB)","₹43,999",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 8200 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
50,"Google Pixel 8a (Porcelain, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.3
51,"OnePlus 11R 5G (Galactic Silver, 256 GB)","₹41,999",16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 16MP Front Camera5000 mAh BatteryDomestic warranty of 12 months on phone & 6 months on accessories,4.5
52,"OPPO Reno15 5G (Twilight Blue, 512 GB)","₹55,999",12 GB RAM | 512 GB ROM16.74 cm (6.59 inch) Full HD+ Display50MP + 50MP + 8MP | Yes6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
53,"OnePlus 13 (Midnight Ocean, 256 GB)","₹60,999","12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Quad HD+ Display50MP + 50MP + 50MP | 32MP Front Camera6000 mAh BatterySnapdragon® 8 Elite Processor1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase",4.5
54,"vivo T3 Ultra (Frost Green, 256 GB)","₹31,999",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP + 8MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5
55,"OPPO Reno 12 Pro 5G (Space Brown, 256 GB)","₹40,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
56,"Google Pixel 8a (Bay, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.3
57,"OPPO Reno10 Pro 5G (Silvery Grey, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 32MP + 8MP | 32MP Front Camera4600 mAh BatterySnapdragon 778G 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
58,"OPPO Reno10 Pro 5G (Glossy Purple, 256 GB)","₹37,299",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 32MP + 8MP | 32MP Front Camera4600 mAh BatterySnapdragon 778G 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3
59,"OnePlus 13s 5G (Green Silk, 512 GB)","₹55,983",12 GB RAM | 512 GB ROM16.05 cm (6.32 inch) Display50MP Rear Camera5850 mAh Battery1 Year Warranty,4.6
60,"vivo V30 Pro 5G (Andaman Blue, 512 GB)","₹43,999",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 8200 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
61,"OPPO Reno 12 Pro 5G (Sunset Gold, 256 GB)","₹41,203",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
62,"Google Pixel 6a (Charcoal, 128 GB)","₹43,999",6 GB RAM | 128 GB ROM15.6 cm (6.14 inch) Full HD+ Display12.2MP + 12MP | 8MP Front Camera4410 mAh BatteryGoogle Tensor Processor1 Year Brand Warranty,4.3
63,"OnePlus 11 5G (Eternal Green, 128 GB)","₹38,948",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories,4.4
64,"vivo V50 (SARRY NIGHT, 256 GB)","₹49,000",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera6000 mAh Battery12 MONTHS,3.8
65,"Samsung Galaxy A73 5G (Awesome Mint, 256 GB)","₹49,990",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display108MP + 12MP + 5MP + 5MP | 32MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,4.2
66,"OnePlus 13 (Black Eclipse, 256 GB)","₹58,499","12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Quad HD+ Display50MP + 50MP + 50MP | 32MP Front Camera6000 mAh BatterySnapdragon® 8 Elite Processor1 Year Warranty
1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase",4.5
67,"Samsung Galaxy A73 5G (Awesome Gray, 128 GB)","₹47,490",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display108MP + 12MP + 5MP + 5MP | 32MP Front Camera5000 mAh Li-ion BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box,4.2
68,"vivo T4 Ultra 5G (Meteor Grey, 512 GB)","₹39,999",12 GB RAM | 512 GB ROM16.94 cm (6.67 inch) Full HD+ AMOLED Display50MP + 8MP + 50MP Periscope | 32MP Front Camera5500 mAh BatteryDimensity 9300+ Processor1 Year Warranty on the Product and 6 Months Warranty on Inbox Accessories,4.5
69,"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
70,"Nothing Phone (2) (White, 256 GB)","₹38,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50 MP(OIS) +50MP | 32MP Front Camera4700 mAh Lithium ion BatteryQualcomm Snapdragon 8+ Gen 1 ProcessorLTPO AMOLED (1 Hz - 120 Hz)1 Year Manufacturing Warranty,4.4
71,"REDMI Note 14 Pro+ 5G (Spectre Blue, 512 GB)","₹33,999",12 GB RAM | 512 GB ROM16.94 cm (6.67 inch) Display50MP + 50MP + 8MP | 20MP Front Camera6200 mAh Battery7s Gen 3 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4
72,"vivo X80 (Cosmic Black, 256 GB)","₹42,990",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 12MP + 12MP | 32MP Front Camera4500 mAh Lithium BatteryMediatek Dimensity 9000 Processor1 Year on Handset and 6 Months on Accessories,4.5
73,"OnePlus 9 5G (Winter Mist, 256 GB)","₹39,999",12 GB RAM | 256 GB ROM16.64 cm (6.55 inch) Display48MP Rear Camera4500 mAh Battery1 Year,3.9
